TIME,DBTM,DMEA,BPOS,HKLA,HKLX,WOBA,WOBX,TQA,TQX,RPMA,SPPA,CHKP,SPM1,SPM2,TVCA,MFOP,MDOA,MDIA,MTOA,MTIA,MCOA,MCIA,STKC,DRTM,SPR2,SPR3,SPR4,SPR5,SPR6,SPR7,SPR13,SPR14,SPR15,SPR20,SPR21,SPR22,SPR23
2016-11-08T192808.000Z,419.7504,419.7504,-3.903358,38.37169,38.37169,12.03747,12.03747,0.0,0.0,0,88.8562,0.0,63,77,-1.924915,0,1.158896,1.053621,0.0,41.13161,0.0,15.69088,4126130,427.0,90.48753,211.3924,0.0,0.0,88,518.3692,179.6569,0.0,0.0,2.367934,25.57307,141,6715
2016-11-08T192810.000Z,419.7504,419.7504,-3.903358,38.70185,38.70185,11.71095,11.71095,0.0,0.0,0,88.66407,0.0,63,77,-1.924915,0,1.158896,1.053621,0.0,41.83213,0.0,15.69088,4126132,427.0,90.48753,211.5141,0.0,0.0,90,530.1052,179.6569,0.0,0.0,2.367934,25.57307,141,6715
2016-11-08T192812.000Z,419.7628,419.7628,-3.915771,39.03093,39.03093,11.38185,11.38185,0.0,0.0,0,88.66407,0.0,63,77,-1.924915,0,1.158896,1.053621,0.0,41.83213,0.0,15.69088,4126134,427.0,90.48753,211.5141,0.0,0.0,91,525.0679,179.6569,0.0,0.0,2.367934,25.68279,141,6719
2016-11-08T192814.000Z,419.7628,419.7628,-3.915771,39.19547,39.19547,11.23459,11.23459,0.0,0.0,0,88.66407,0.0,63,77,-1.924915,0,1.158896,1.053621,0.0,41.83213,0.0,15.69088,4126137,427.0,90.48753,211.6288,0.0,0.0,90,535.4642,179.6569,0.0,0.0,2.367934,25.68279,141,6719
2016-11-08T192816.000Z,419.7628,419.7628,-3.915771,39.19547,39.19547,11.23459,11.23459,0.0,0.0,0,88.66407,0.0,63,77,-1.924915,0,1.158896,1.053621,0.0,41.83213,0.0,15.69088,4126137,427.0,90.48753,211.1862,0.0,0.0,90,535.4642,179.6569,0.0,0.0,2.367934,25.68279,141,6719
2016-11-08T192818.000Z,419.7628,419.7628,-3.915771,39.44173,39.44173,10.96447,10.96447,0.0,0.0,0,88.66407,0.0,63,77,-1.913876,0,1.158896,1.053621,0.0,41.83213,0.0,15.69088,4126139,427.0,90.3576,211.1862,0.0,0.0,88,522.7976,179.6569,0.0,0.0,2.367934,26.32119,141,6725
2016-11-08T192820.000Z,419.7628,419.7628,-3.915771,39.44173,39.44173,10.96447,10.96447,0.0,0.0,0,88.66407,0.0,63,77,-1.913876,0,1.158896,1.053621,0.0,41.83213,0.0,15.69088,4126139,427.0,90.3576,211.1862,0.0,0.0,88,522.7976,179.6569,0.0,0.0,2.367934,26.32119,141,6725
2016-11-08T192822.000Z,419.7863,419.7863,-3.9393,38.66288,38.66288,11.73987,11.73987,0.0,0.0,0,88.66407,0.0,63,77,-1.900837,0,1.158896,1.053621,0.0,41.83213,0.0,15.69088,4126142,427.0,90.3576,211.3314,0.0,0.0,84,517.6725,179.6569,0.0,0.0,2.367934,26.32119,141,6725
2016-11-08T192824.000Z,419.797,419.797,-3.949986,39.22672,39.22672,11.18077,11.18077,0.0,0.0,0,88.66407,0.0,63,77,-1.956062,0,1.158896,1.053621,0.0,42.40249,0.0,15.69088,4126149,427.0,90.3576,211.7414,0.0,0.0,85,515.1217,179.7372,0.0,0.0,2.367934,26.32119,141,6732
2016-11-08T192826.000Z,419.797,419.797,-3.949986,39.53936,39.53936,10.91292,10.91292,0.0,0.0,0,88.66407,0.0,63,77,-2.111935,0,1.158896,1.053621,0.0,42.40249,0.0,15.69088,4126152,427.0,90.25518,210.9206,0.0,0.0,85,507.8352,179.7372,0.0,0.0,2.367934,26.32119,141,6737
2016-11-08T192828.000Z,419.8101,419.8101,-3.963046,39.36769,39.36769,11.03711,11.03711,0.0,0.0,0,88.16646,0.0,63,77,-2.189869,0,1.158896,1.053621,0.0,42.40249,0.0,15.69088,4126154,427.0,90.14146,210.6382,0.0,0.0,87,509.8748,179.7372,0.0,0.0,2.367934,26.32119,141,6737
2016-11-08T192830.000Z,419.8101,419.8101,-3.963046,39.69184,39.69184,10.76215,10.76215,0.0,0.0,0,88.43686,0.0,63,77,-2.218834,0,1.158896,1.053621,0.0,42.40249,0.0,15.69088,4126156,427.0,90.24413,210.3529,0.0,0.0,89,511.5065,179.7372,0.0,0.0,2.367934,26.32119,141,6741
2016-11-08T192832.000Z,419.8293,419.8293,-3.982258,40.34593,40.34593,10.06166,10.06166,0.0,0.0,0,88.6897,0.0,63,77,-2.233318,0,1.158896,1.053621,0.0,42.40249,0.0,15.69088,4126159,427.0,90.24413,209.8582,0.0,0.0,86,507.5659,179.7372,0.0,0.0,2.367934,26.32119,141,6741
2016-11-08T192834.000Z,419.8293,419.8293,-3.982258,40.59097,40.59097,9.851177,9.851177,0.0,0.0,0,88.40435,0.0,63,77,-2.250561,0,1.158896,1.053621,0.0,42.40249,0.0,15.69088,4126161,427.0,90.10634,210.175,0.0,0.0,88,526.7085,179.7372,0.0,0.0,2.367934,26.25463,141,6746
2016-11-08T192836.000Z,419.8438,419.8438,-3.996722,39.89348,39.89348,10.50954,10.50954,0.0,0.0,0,88.26167,0.0,63,77,-2.239182,0,1.158896,1.053621,0.0,42.65174,0.0,15.69088,4126163,427.0,90.10634,210.3644,0.0,0.0,87,517.1046,179.7372,0.0,0.0,2.367934,26.25463,141,6746
2016-11-08T192839.000Z,419.8515,419.8515,-4.004493,38.47874,38.47874,11.92186,11.92186,0.0,0.0,0,88.26167,0.0,63,77,-2.239182,0,1.158896,1.053621,0.0,42.65174,0.0,15.69088,4126165,427.0,90.10634,210.3644,0.0,0.0,89,515.9788,179.7372,0.0,0.0,2.367934,26.25463,141,6751
2016-11-08T192841.000Z,419.8629,419.8629,-4.015826,39.90338,39.90338,10.50681,10.50681,0.0,0.0,0,88.56644,0.0,63,77,-2.310646,0,1.158896,1.053621,0.0,42.65174,0.0,15.69088,4126168,427.0,90.10634,210.5239,0.0,0.0,91,500.6519,179.7372,0.0,0.0,2.367934,26.25463,141,6751
2016-11-08T192843.000Z,419.8629,419.8629,-4.015826,39.22169,39.22169,11.08145,11.08145,0.0,0.0,0,88.56644,0.0,63,77,-2.269226,0,1.158896,1.053621,0.0,42.65174,0.0,15.69088,4126170,427.0,90.10634,210.2737,0.0,0.0,90,517.2429,179.7372,0.0,0.0,2.367934,26.25463,141,6756
2016-11-08T192845.000Z,419.8754,419.8754,-4.028347,38.71685,38.71685,11.68682,11.68682,0.0,0.0,0,88.34851,0.0,63,77,-2.238514,0,1.158896,1.053621,0.0,42.65174,0.0,15.69088,4126172,427.0,90.10634,210.0697,0.0,0.0,89,501.6631,179.7372,0.0,0.0,2.367934,26.25463,141,6756
2016-11-08T192847.000Z,419.8894,419.8894,-4.042378,38.38243,38.38243,11.97278,11.97278,0.0,0.0,0,88.34851,0.0,63,77,-2.238514,0,1.158896,1.053621,0.0,42.65174,0.0,15.69088,4126176,427.0,90.10634,210.6076,0.0,0.0,89,516.7404,179.7372,0.0,0.0,2.367934,26.37296,141,6761
2016-11-08T192849.000Z,419.8894,419.8894,-4.042378,38.87122,38.87122,11.53581,11.53581,0.0,0.0,0,88.34851,0.0,63,77,-2.26548,0,1.158896,1.053621,0.0,42.77622,0.0,15.5843,4126178,427.0,90.10634,210.6076,0.0,0.0,87,502.5727,179.7372,0.0,0.0,2.367934,26.37296,141,6761
2016-11-08T192851.000Z,419.8894,419.8894,-4.042378,38.87122,38.87122,11.53581,11.53581,0.0,0.0,0,88.34851,0.0,63,77,-2.246643,0,1.158896,1.053621,0.0,42.77622,0.0,15.5843,4126180,427.0,90.10634,210.6076,0.0,0.0,85,518.7795,179.7372,0.0,0.0,2.367934,26.37296,141,6765
2016-11-08T192853.000Z,419.9063,419.9063,-4.059216,37.26981,37.26981,13.13045,13.13045,0.0,0.0,0,88.34851,0.0,63,77,-2.217224,0,1.158896,1.053621,0.0,42.77622,0.0,15.5843,4126183,427.0,90.21062,210.8374,0.0,0.0,86,517.3188,179.7372,0.0,0.0,2.23605,26.83303,141,6765
2016-11-08T192855.000Z,419.9063,419.9063,-4.059216,38.47891,38.47891,11.93055,11.93055,0.0,0.0,0,88.34851,0.0,63,77,-2.192516,0,1.158896,1.053621,0.0,42.77622,0.0,15.5843,4126185,427.0,90.21062,210.6415,0.0,0.0,86,539.7567,179.7372,0.0,0.0,2.23605,26.83303,141,6770
